Game Turn, Player, SpyId, Action, Status, Location
222, 1, 19267639, MOVE TO CITY(44 20), BEGIN, 37:10
222, 1, 18808879, MOVE TO CITY(37 10), BEGIN, 44:20
222, 4, 21692492, MOVE TO CITY(40 7), BEGIN, 39:20
222, 4, 21954622, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
222, 4, 22020155, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
222, 4, 22085674, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
222, 4, 21889090, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
222, 4, 21889090, MOVE TO CITY(39 20), BEGIN, 40:7
222, 5, 32047127, MOVE TO CITY (ALREADY THERE), COMPLETE, 64:13
222, 5, 32047127, UNITOPERATION_SPY_SIPHON_FUNDS, BEGIN, 65:11
222, 5, 32112643, MOVE TO CITY (ALREADY THERE), COMPLETE, 64:13
222, 5, 32112643, UNITOPERATION_SPY_SIPHON_FUNDS, BEGIN, 65:11
222, 5, 32178178, MOVE TO CITY (ALREADY THERE), COMPLETE, 64:13
222, 5, 32178178, UNITOPERATION_SPY_SIPHON_FUNDS, BEGIN, 65:11
222, 6, 26017872, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
222, 6, 26017872, MOVE TO CITY(25 20), BEGIN, 61:11
222, 6, 26083393, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
222, 6, 26083393, MOVE TO CITY(25 20), BEGIN, 61:11
222, 7, 23724098, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
222, 7, 23724098, GAIN SOURCES, BEGIN, 32:16
222, 7, 23789602, MOVE TO CITY (ALREADY THERE), COMPLETE, 32:16
222, 7, 23789602, GAIN SOURCES, BEGIN, 32:16
223, 1, 19726392, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
223, 1, 19529738, MOVE TO CITY(44 20), BEGIN, 37:10
223, 2, 15269903, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
223, 2, 15269903, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 60:9
223, 2, 15335430, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
223, 2, 15335430, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 60:9
223, 2, 15401011, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
223, 2, 15401011, UNITOPERATION_SPY_STEAL_TECH_BOOST, BEGIN, 60:9
223, 4, 22020155, MOVE TO CITY(40 7), BEGIN, 39:20
223, 4, 21954622, MOVE TO CITY(40 7), BEGIN, 39:20
223, 4, 22282316, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
223, 4, 22085674, MOVE TO CITY(40 7), BEGIN, 39:20
223, 6, 26345552, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
223, 6, 26345552, MOVE TO CITY(25 20), BEGIN, 61:11
223, 6, 26411073, MOVE TO CITY (ALREADY THERE), COMPLETE, 25:20
223, 6, 26476581, MOVE TO CITY (ALREADY THERE), COMPLETE, 25:20
223, 7, 23003174, MOVE TO CITY(61 11), BEGIN, 32:16
224, 1, 19726392, MOVE TO CITY(44 20), BEGIN, 37:10
224, 1, 19922954, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
224, 1, 19922954, MOVE TO CITY(37 10), BEGIN, 44:20
224, 1, 19988527, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
224, 4, 22413374, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
224, 4, 22413374, MOVE TO CITY(39 20), BEGIN, 40:7
224, 4, 22282316, MOVE TO CITY(40 7), BEGIN, 39:20
224, 6, 26607696, MOVE TO CITY (ALREADY THERE), COMPLETE, 25:20
224, 6, 26411073, MOVE TO CITY(61 11), BEGIN, 25:20
224, 6, 26476581, MOVE TO CITY(61 11), BEGIN, 25:20
224, 7, 24051768, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
225, 1, 19988527, MOVE TO CITY(44 20), BEGIN, 37:10
225, 1, 20054072, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
225, 1, 20054072, MOVE TO CITY(37 10), BEGIN, 44:20
225, 4, 22675498, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
225, 4, 22478924, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
225, 4, 22478924, MOVE TO CITY(39 20), BEGIN, 40:7
225, 4, 22544446, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
225, 4, 22544446, MOVE TO CITY(39 20), BEGIN, 40:7
225, 4, 22609979, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
225, 4, 22609979, MOVE TO CITY(39 20), BEGIN, 40:7
225, 5, 31326266, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 60:9
225, 5, 31391764, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 60:9
225, 6, 26607696, MOVE TO CITY(61 11), BEGIN, 25:20
225, 7, 23265365, MOVE TO CITY(61 11), BEGIN, 32:16
225, 7, 24051768, MOVE TO CITY(24 24), BEGIN, 61:11
226, 1, 20250680, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
226, 1, 20250680, MOVE TO CITY(37 10), BEGIN, 44:20
226, 1, 20316207, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
226, 4, 22675498, MOVE TO CITY(40 7), BEGIN, 39:20
226, 4, 23003198, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
226, 4, 23068731, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
226, 4, 22937676, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
226, 4, 22937676, MOVE TO CITY(39 20), BEGIN, 40:7
226, 4, 23134246, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
226, 5, 31653982, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 60:9
226, 6, 26935376, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
226, 6, 26935376, UNITOPERATION_SPY_SIPHON_FUNDS, BEGIN, 62:12
226, 6, 27000862, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
226, 6, 27000862, UNITOPERATION_SPY_SIPHON_FUNDS, BEGIN, 62:12
226, 7, 24510549, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
226, 7, 24576056, MOVE TO CITY(24 24), BEGIN, 64:5
227, 1, 20381752, MOVE TO CITY (ALREADY THERE), COMPLETE, 44:20
227, 1, 20381752, MOVE TO CITY(37 10), BEGIN, 44:20
227, 1, 20447293, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
227, 1, 20316207, MOVE TO CITY(44 20), BEGIN, 37:10
227, 4, 23003198, MOVE TO CITY(40 7), BEGIN, 39:20
227, 4, 23199820, MOVE TO CITY (ALREADY THERE), COMPLETE, 39:20
227, 4, 23068731, MOVE TO CITY(40 7), BEGIN, 39:20
227, 4, 23134246, MOVE TO CITY(40 7), BEGIN, 39:20
227, 5, 32047127, UNITOPERATION_SPY_SIPHON_FUNDS, COMPLETE, 64:13
227, 5, 32112643, UNITOPERATION_SPY_SIPHON_FUNDS, COMPLETE, 64:13
227, 6, 27066415, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
227, 6, 27066415, UNITOPERATION_SPY_SIPHON_FUNDS, BEGIN, 62:12
227, 7, 23724098, MOVE TO CITY(61 11), BEGIN, 32:16
227, 7, 24772716, MOVE TO CITY (ALREADY THERE), COMPLETE, 24:24
227, 7, 24772716, GAIN SOURCES, BEGIN, 24:24
227, 7, 24510549, MOVE TO CITY(24 24), BEGIN, 61:11
227, 7, 23789602, MOVE TO CITY(61 11), BEGIN, 32:16
228, 1, 20512824, MOVE TO CITY (ALREADY THERE), COMPLETE, 37:10
228, 1, 20447293, MOVE TO CITY(44 20), BEGIN, 37:10
228, 2, 15269903, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 60:9
228, 2, 15335430, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 60:9
228, 2, 15401011, UNITOPERATION_SPY_STEAL_TECH_BOOST, COMPLETE, 61:11
228, 4, 23265342, MOVE TO CITY (ALREADY THERE), COMPLETE, 40:7
228, 4, 23265342, MOVE TO CITY(39 20), BEGIN, 40:7
228, 4, 23199820, MOVE TO CITY(40 7), BEGIN, 39:20
228, 5, 32047127, MOVE TO CITY(45 16), BEGIN, 64:13
228, 5, 32112643, MOVE TO CITY(45 16), BEGIN, 64:13
228, 7, 24969282, MOVE TO CITY (ALREADY THERE), COMPLETE, 61:11
