Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 22 spline, 76 tower
Free: 11 spline, 38 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 3 spline, 19 tower
Free: 2 spline, 9 tower
Update: 10 spline, 38 tower
Free: 5 spline, 19 tower
Update: 22 spline, 75 tower
Free: 11 spline, 38 tower
Update: 26 spline, 82 tower
Free: 13 spline, 41 tower
Update: 1 spline, 5 tower
Update: 6 spline, 18 tower
Free: 3 spline, 9 tower
Update: 10 spline, 44 tower
Free: 5 spline, 22 tower
Update: 1 spline, 5 tower
Update: 47 spline, 151 tower
Free: 23 spline, 72 tower
Update: 77 spline, 250 tower
Free: 39 spline, 131 tower
Update: 4 spline, 29 tower
Free: 1 spline, 9 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 13 spline, 39 tower
Update: 35 spline, 108 tower
Free: 19 spline, 56 tower
Update: 20 spline, 68 tower
Free: 8 spline, 25 tower
Update: 37 spline, 153 tower
Free: 17 spline, 72 tower
Update: 24 spline, 118 tower
Free: 10 spline, 52 tower
Update: 7 spline, 27 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 3 spline, 9 tower
Update: 4 spline, 25 tower
Update: 38 spline, 198 tower
Free: 19 spline, 99 tower
Update: 9 spline, 38 tower
Free: 4 spline, 19 tower
Update: 18 spline, 70 tower
Update: 121 spline, 431 tower
Free: 53 spline, 204 tower
Update: 125 spline, 400 tower
Free: 56 spline, 187 tower
Update: 26 spline, 71 tower
Update: 15 spline, 38 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 13 spline, 26 tower
Update: 2 spline, 12 tower
Free: 1 spline, 6 tower
Update: 3 spline, 10 tower
Update: 2 spline, 9 tower
Update: 22 spline, 56 tower
Free: 11 spline, 28 tower
Update: 30 spline, 112 tower
Free: 15 spline, 56 tower
Update: 4 spline, 36 tower
Free: 2 spline, 18 tower
Update: 22 spline, 62 tower
Free: 11 spline, 32 tower
Update: 42 spline, 110 tower
Free: 21 spline, 55 tower
Update: 44 spline, 114 tower
Free: 22 spline, 57 tower
Update: 14 spline, 38 tower
Free: 7 spline, 19 tower
Update: 1 spline, 5 tower
Update: 6 spline, 28 tower
Free: 3 spline, 13 tower
Update: 1 spline, 6 tower
Update: 43 spline, 154 tower
Free: 21 spline, 73 tower
Update: 39 spline, 147 tower
Free: 19 spline, 70 tower
Update: 2 spline, 18 tower
Free: 1 spline, 9 tower
Update: 1 spline, 9 tower
Update: 5 spline, 7 tower
Update: 5 spline, 24 tower
Update: 23 spline, 88 tower
Free: 11 spline, 39 tower
Update: 37 spline, 120 tower
Free: 19 spline, 62 tower
Update: 12 spline, 36 tower
Free: 6 spline, 18 tower
Update: 5 spline, 31 tower
Update: 22 spline, 109 tower
Free: 10 spline, 53 tower
Update: 21 spline, 104 tower
Free: 10 spline, 49 tower
Update: 16 spline, 74 tower
Free: 7 spline, 34 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 1 spline, 6 tower
Update: 15 spline, 52 tower
Update: 116 spline, 380 tower
Free: 58 spline, 190 tower
Update: 116 spline, 368 tower
Free: 58 spline, 184 tower
Update: 28 spline, 91 tower
Free: 12 spline, 36 tower
Update: 2 spline, 16 tower
Free: 1 spline, 9 tower
Update: 8 spline, 34 tower
Free: 4 spline, 17 tower
Update: 3 spline, 10 tower
Update: 2 spline, 9 tower
Update: 42 spline, 126 tower
Free: 21 spline, 63 tower
Update: 42 spline, 126 tower
Free: 21 spline, 63 tower
Update: 16 spline, 46 tower
Free: 8 spline, 23 tower
Update: 16 spline, 46 tower
Free: 8 spline, 23 tower
Update: 34 spline, 108 tower
Free: 17 spline, 54 tower
Update: 4 spline, 36 tower
Free: 2 spline, 18 tower
Update: 54 spline, 154 tower
Free: 27 spline, 77 tower
Update: 70 spline, 176 tower
Free: 35 spline, 88 tower
Update: 46 spline, 120 tower
Free: 23 spline, 60 tower
Update: 19 spline, 99 tower
Update: 44 spline, 216 tower
Free: 22 spline, 107 tower
Update: 48 spline, 234 tower
Free: 24 spline, 117 tower
Update: 1 spline, 7 tower
Update: 48 spline, 147 tower
Free: 24 spline, 73 tower
Update: 59 spline, 185 tower
Free: 28 spline, 88 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 8 spline, 16 tower
Update: 34 spline, 66 tower
Free: 17 spline, 33 tower
Update: 27 spline, 71 tower
Free: 9 spline, 25 tower
Update: 50 spline, 170 tower
Free: 25 spline, 85 tower
Update: 48 spline, 160 tower
Free: 24 spline, 80 tower
Update: 4 spline, 25 tower
Update: 30 spline, 138 tower
Free: 15 spline, 68 tower
Update: 30 spline, 142 tower
Free: 15 spline, 71 tower
Update: 10 spline, 38 tower
Free: 5 spline, 19 tower
Update: 23 spline, 74 tower
Free: 8 spline, 24 tower
Update: 110 spline, 397 tower
Free: 55 spline, 197 tower
Update: 100 spline, 350 tower
Free: 50 spline, 175 tower
Update: 6 spline, 18 tower
Free: 3 spline, 9 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 3 spline, 10 tower
Update: 6 spline, 20 tower
Free: 3 spline, 10 tower
Update: 2 spline, 9 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Dynamic Manager Shutdown:
11T, 4P
10T, 3P
9T, 3P
8T, 4P
5T, 2P
11T, 3P
11T, 4P
12T, 5P
9T, 4P
11T, 5P
8T, 4P
7T, 3P
8T, 2P
8T, 1P
8T, 1P
9T, 2P
9T, 3P
13T, 2P
11T, 3P
8T, 2P
11T, 3P
10T, 1P
10T, 1P
10T, 1P
12T, 2P
7T, 1P
6T, 2P
8T, 4P
9T, 3P
10T, 5P
12T, 3P
10T, 4P
10T, 3P
12T, 2P
4T, 3P
9T, 3P
8T, 5P
7T, 5P
10T, 3P
9T, 3P
13T, 1P
8T, 4P
8T, 1P
7T, 1P
8T, 2P
7T, 1P
6T, 1P
13T, 3P
8T, 3P
8T, 3P
10T, 2P
9T, 1P
10T, 2P
9T, 1P
6T, 1P
9T, 1P
5T, 1P
13T, 5P
11T, 3P
10T, 4P
13T, 2P
11T, 3P
8T, 2P
4T, 2P
8T, 4P
9T, 1P
8T, 2P
10T, 1P
9T, 2P
6T, 2P
9T, 3P
6T, 1P
8T, 2P
9T, 2P
10T, 3P
12T, 2P
9T, 3P
6T, 1P
9T, 2P
7T, 1P
DM Towers: 719, DM Pieces 199
Context Shutdown:
767 towers, 223 pieces
Update: 199 spline, 719 tower
Update: 390 spline, 1378 tower
Free: 195 spline, 689 tower
Update: 24 spline, 48 tower
Update: 8 spline, 64 tower
Free: 4 spline, 32 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 10 spline, 24 tower
Free: 5 spline, 12 tower
Update: 38 spline, 102 tower
Free: 19 spline, 51 tower
Update: 24 spline, 68 tower
Free: 12 spline, 34 tower
Update: 1 spline, 7 tower
Update: 10 spline, 40 tower
Free: 5 spline, 20 tower
Update: 10 spline, 40 tower
Free: 5 spline, 20 tower
Update: 2 spline, 20 tower
Free: 1 spline, 10 tower
Update: 30 spline, 128 tower
Free: 15 spline, 64 tower
Update: 46 spline, 148 tower
Free: 23 spline, 74 tower
Update: 13 spline, 40 tower
Update: 72 spline, 275 tower
Free: 36 spline, 135 tower
Update: 55 spline, 206 tower
Free: 27 spline, 98 tower
Update: 1 spline, 10 tower
Update: 4 spline, 22 tower
Free: 2 spline, 11 tower
Update: 4 spline, 25 tower
Update: 14 spline, 61 tower
Free: 7 spline, 30 tower
Update: 13 spline, 55 tower
Free: 6 spline, 24 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 6 spline, 20 tower
Free: 2 spline, 6 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 9 spline, 27 tower
Update: 130 spline, 453 tower
Free: 65 spline, 226 tower
Update: 116 spline, 404 tower
Free: 58 spline, 202 tower
Update: 6 spline, 16 tower
Update: 2 spline, 9 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 18 spline, 78 tower
Free: 9 spline, 39 tower
Update: 3 spline, 10 tower
Update: 6 spline, 20 tower
Free: 3 spline, 10 tower
Update: 2 spline, 9 tower
Update: 28 spline, 86 tower
Free: 14 spline, 44 tower
Update: 8 spline, 64 tower
Free: 4 spline, 32 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 34 spline, 82 tower
Free: 17 spline, 41 tower
Update: 26 spline, 60 tower
Free: 13 spline, 30 tower
Update: 38 spline, 114 tower
Free: 19 spline, 57 tower
Update: 1 spline, 7 tower
Update: 22 spline, 77 tower
Free: 11 spline, 40 tower
Update: 48 spline, 188 tower
Free: 25 spline, 103 tower
Update: 18 spline, 84 tower
Free: 10 spline, 43 tower
Update: 2 spline, 18 tower
Free: 1 spline, 9 tower
Update: 3 spline, 9 tower
Update: 43 spline, 113 tower
Free: 16 spline, 34 tower
Update: 104 spline, 364 tower
Free: 51 spline, 181 tower
Update: 58 spline, 218 tower
