Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
187, 5, 6, Deal Accepted, 0 Peace for 20 turns from 6 to 5; 0 Peace for 20 turns from 5 to 6; 19 Gold for 0 turns from 6 to 5; 2 Gold for 30 turns from 6 to 5; , 2256.0, 2
187, 6, 5, Peace, , 2256.0, 1
187, 12, 6, Peace, , 2256.0, 1
187, 20, 5, Peace, , 2256.0, 1
187, 12, 20, Peace, , 2256.0, 0
187, 22, 6, Peace, , 2256.0, 1
187, 20, 22, Peace, , 2256.0, 0
187, 6, 5, Promise Refused, , 2256.0, 1
188, 0, 12, Gave Influence, , 2256.0, 0
188, 5, 0, Promise Made, Spy, 2256.0, 4
188, 1, 5, Deal Proposed, 0 GreatWork for 0 turns from 5 to 1; 0 GreatWork for 0 turns from 1 to 5; , 2256.0, 3
188, 5, 1, Deal Accepted, 0 GreatWork for 0 turns from 5 to 1; 0 GreatWork for 0 turns from 1 to 5; , 2256.0, 4
188, 5, 6, Deal Proposed, 0 GreatWork for 0 turns from 6 to 5; 0 GreatWork for 0 turns from 5 to 6; 0 Open Borders for 30 turns from 5 to 6; 14 Gold for 0 turns from 5 to 6; 3 Gold for 30 turns from 5 to 6; , 2260.0, 2
188, 5, 6, Deal Closed, 0 GreatWork for 0 turns from 6 to 5; 0 GreatWork for 0 turns from 5 to 6; 0 Open Borders for 30 turns from 5 to 6; 14 Gold for 0 turns from 5 to 6; 3 Gold for 30 turns from 5 to 6; , 2260.0, 2
188, 6, 5, Deal Rejected, 0 GreatWork for 0 turns from 6 to 5; 0 GreatWork for 0 turns from 5 to 6; 0 Open Borders for 30 turns from 5 to 6; 14 Gold for 0 turns from 5 to 6; 3 Gold for 30 turns from 5 to 6; , 2260.0, 1
189, 20, 1, Peace, , 2263.5, 1
189, 20, 2, Peace, , 2263.5, 1
189, 2, 20, Gave Influence, , 2263.5, 0
189, 20, 6, At War, Suzerain War, 2263.5, 1
189, 2, 20, Gave Influence, , 2265.5, 0
189, 2, 20, Gave Influence, , 2265.5, 0
189, 5, 14, Gave Influence, , 2266.5, 0
189, 5, 14, Gave Influence, , 2266.5, 0
190, 0, 21, Gave Influence, , 2267.0, 0
190, 0, 12, Gave Influence, , 2267.0, 0
190, 0, 12, Gave Influence, , 2267.0, 0
190, 0, 21, Gave Influence, , 2267.0, 0
190, 0, 21, Gave Influence, , 2267.0, 0
190, 1, 6, Deal Proposed, 0 Peace for 20 turns from 1 to 6; 0 Peace for 20 turns from 6 to 1; 1 RESOURCE_CITRUS for 30 turns from 1 to 6; 0 GreatWork for 0 turns from 1 to 6; 1 Gold for 30 turns from 1 to 6; , 2267.0, 1
