Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
183, 6, 4, 我们的军队已到达他们边境, Update,   -1.0
183, 6, 4, 您的好战性, Update,   -7.0
183, 6, 5, 您的好战性, Update,  -23.0
183, 7, 0, 与一位朋友结盟, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 7, 4, 与一位朋友结盟, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
183, 7, 5, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
183, 7, 1, 已谴责一位朋友, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
183, 7, 1, 惧怕险恶的的文明, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
183, 7, 1, 您的好战性, Update,  -16.0
183, 7, 5, 我们谴责了他们, Update,   -7.0
183, 7, 5, 您的好战性, Update,  -19.0
183, 7, 6, 对他们有利的交易, Update,    9.0
183, 7, 6, 您的好战性, Update,   -3.0
183, 2, 1, 我们谴责了他们, Activate,   -9.0,   -9.0,    1.0, 0, 10,    1.0
183, 2,  7, 我们谴责了他们, Deactivate
184, 0, 5, 已谴责一位朋友, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
184, 0, 5, 对他们有利的交易, Update,    1.0
184, 5, 0, 对他们有利的交易, Activate,   10.0,   10.0,    0.0, 0, 2,   -1.0
184, 5,  0, 对他们有利的交易, Deactivate
184, 0, 5, 对他们有利的交易, Activate,    2.0,    2.0,    0.0, 0, 2,   -1.0
184, 0,  5, 对他们有利的交易, Deactivate
184, 1, 0, 已与一位敌人宣布友好, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
184, 1, 4, 已与一位敌人宣布友好, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
184, 1, 7, 已与一位敌人宣布友好, Activate,   -3.0,   -3.0,    0.0, 0, 0,    1.0
184, 1, 0, 已与一位朋友宣布友好, Activate,    7.0,    7.0,    0.0, 0, 0,    1.0
184, 1, 7, 已谴责一位敌人, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
184, 1, 5, 已谴责一位朋友, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
184, 2, 1, 不同的政体, Activate,  -11.0,  -11.0,    1.0, 0, 0,    1.0
184, 5, 1, 相同的政体, Activate,    6.0,    6.0,    1.0, 0, 0,    1.0
184, 1, 2, 不同的政体, Activate,  -11.0,  -11.0,    1.0, 0, 0,    1.0
184, 1, 5, 相同的政体, Activate,    6.0,    6.0,    1.0, 0, 0,    1.0
184, 1, 4, 拒绝向他们做出外交承诺, Update,   -1.0
184, 0,  1, 我们谴责了他们, Deactivate
184, 2, 4, 已与一位敌人宣布友好, Activate,   -1.0,   -1.0,    0.0, 0, 0,    1.0
184, 2, 7, 已与一位敌人宣布友好, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
184, 2, 7, 他们很高兴看到拥有强大空军力量的文明, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
184, 2, 1, 拒绝向他们做出外交承诺, Update,   -1.0
184, 2, 5, 对他们有利的交易, Update,    3.0
184, 1,  4, 吉尔伽美什讨厌您谴责他的朋友, Deactivate
184, 4, 0, 与一位敌人结盟, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
184, 4, 1, 与一位敌人结盟, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
184, 4, 0, 已与一位敌人宣布友好, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
184, 4, 0, 已与一位朋友宣布友好, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
184, 4, 7, 已与一位朋友宣布友好, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
184, 4, 5, 已谴责一位朋友, Activate,   -2.0,   -2.0,    0.0, 0, 0,    1.0
184, 4, 2, 相同的政体, Activate,    5.0,    5.0,    1.0, 0, 0,    1.0
184, 2, 4, 相同的政体, Activate,    5.0,    5.0,    1.0, 0, 0,    1.0
184, 6, 4, 不同的政体, Activate,   -9.0,   -9.0,    1.0, 0, 0,    1.0
