Player,FromPlayer,Delta,New Total Weariness,Reason
6, 2, -50, 6440, At War Decay
6, 2, 28, 6468, Attacking
2, 6, 42, 10241, Getting Attacked
6, 2, 56, 6524, Attacking
2, 6, 42, 10283, Getting Attacked
2, 6, -50, 10233, At War Decay
2, 6, 42, 10275, Attacking
6, 2, 28, 6552, Getting Attacked
2, 6, 42, 10317, Attacking
6, 2, 28, 6580, Getting Attacked
2, 6, 42, 10359, Attacking
6, 2, 112, 6692, Getting Attacked
2, 6, 42, 10401, Attacking
6, 2, 56, 6748, Getting Attacked
2, 6, 42, 10443, Attacking
6, 2, 56, 6804, Getting Attacked
2, 6, 42, 10485, Attacking
6, 2, 56, 6860, Getting Attacked
6, 2, -50, 6810, At War Decay
6, 2, 56, 6866, Attacking
2, 6, 42, 10527, Getting Attacked
6, 2, 56, 6922, Attacking
2, 6, 105, 10632, Getting Attacked
2, 6, -50, 10582, At War Decay
2, 6, 42, 10624, Attacking
6, 2, 28, 6950, Getting Attacked
2, 6, 42, 10666, Attacking
6, 2, 28, 6978, Getting Attacked
2, 6, 42, 10708, Attacking
6, 2, 28, 7006, Getting Attacked
2, 6, 42, 10750, Attacking
6, 2, 28, 7034, Getting Attacked
2, 6, 42, 10792, Attacking
6, 2, 28, 7062, Getting Attacked
2, 6, 42, 10834, Attacking
6, 2, 112, 7174, Getting Attacked
6, 2, -50, 7124, At War Decay
6, 2, 28, 7152, Attacking
2, 6, 42, 10876, Getting Attacked
6, 2, 56, 7208, Attacking
2, 6, 42, 10918, Getting Attacked
6, 2, 56, 7264, Attacking
2, 6, 105, 11023, Getting Attacked
2, 6, -50, 10973, At War Decay
2, 6, 42, 11015, Attacking
6, 2, 28, 7292, Getting Attacked
2, 6, 42, 11057, Attacking
6, 2, 28, 7320, Getting Attacked
2, 6, 42, 11099, Attacking
6, 2, 112, 7432, Getting Attacked
6, 2, -50, 7382, At War Decay
6, 2, 56, 7438, Attacking
2, 6, 42, 11141, Getting Attacked
2, 6, -50, 11091, At War Decay
2, 6, 42, 11133, Attacking
6, 2, 28, 7466, Getting Attacked
2, 6, 42, 11175, Attacking
6, 2, 28, 7494, Getting Attacked
2, 6, 42, 11217, Attacking
6, 2, 112, 7606, Getting Attacked
6, 2, -50, 7556, At War Decay
2, 6, -50, 11167, At War Decay
6, 2, -50, 7506, At War Decay
2, 6, -50, 11117, At War Decay
6, 2, -50, 7456, At War Decay
2, 6, -50, 11067, At War Decay
2, 6, -2000, 9067, We Made Peace
6, 2, -2000, 5456, They Made Peace
14, 6, -2000, 0, We Made Peace
6, 14, -2000, 0, They Made Peace
20, 6, -2000, 0, We Made Peace
6, 20, -2000, 0, They Made Peace
21, 6, -2000, 0, We Made Peace
6, 21, -2000, 0, They Made Peace
2, 6, 24, 9091, Attacking
6, 2, 32, 5488, Getting Attacked
2, 6, 24, 9115, Attacking
6, 2, 32, 5520, Getting Attacked
2, 6, 24, 9139, Attacking
6, 2, 32, 5552, Getting Attacked
2, 6, 24, 9163, Attacking
6, 2, 32, 5584, Getting Attacked
2, 6, 24, 9187, Attacking
6, 2, 32, 5616, Getting Attacked
2, 6, 24, 9211, Attacking
6, 2, 32, 5648, Getting Attacked
2, 6, 24, 9235, Attacking
6, 2, 32, 5680, Getting Attacked
2, 6, 24, 9259, Attacking
6, 2, 32, 5712, Getting Attacked
2, 6, 24, 9283, Attacking
6, 2, 32, 5744, Getting Attacked
6, 2, -200, 5544, At Peace Decay
2, 6, -200, 9083, At Peace Decay
6, 2, -200, 5344, At Peace Decay
2, 6, -200, 8883, At Peace Decay
6, 2, -200, 5144, At Peace Decay
2, 6, -200, 8683, At Peace Decay
6, 2, -200, 4944, At Peace Decay
2, 6, -200, 8483, At Peace Decay
6, 2, -200, 4744, At Peace Decay
2, 6, -200, 8283, At Peace Decay
6, 2, -200, 4544, At Peace Decay
2, 6, -200, 8083, At Peace Decay
6, 2, -200, 4344, At Peace Decay
2, 6, -200, 7883, At Peace Decay
6, 2, -200, 4144, At Peace Decay
2, 6, -200, 7683, At Peace Decay
6, 2, -200, 3944, At Peace Decay
2, 6, -200, 7483, At Peace Decay
6, 2, -200, 3744, At Peace Decay
2, 6, -200, 7283, At Peace Decay
6, 2, -200, 3544, At Peace Decay
2, 6, -200, 7083, At Peace Decay
6, 2, -200, 3344, At Peace Decay
2, 6, -200, 6883, At Peace Decay
6, 2, -200, 3144, At Peace Decay
2, 6, -200, 6683, At Peace Decay
6, 2, -200, 2944, At Peace Decay
2, 6, -200, 6483, At Peace Decay
6, 2, -200, 2744, At Peace Decay
2, 6, -200, 6283, At Peace Decay
6, 2, -200, 2544, At Peace Decay
2, 6, -200, 6083, At Peace Decay
6, 2, -200, 2344, At Peace Decay
2, 6, -200, 5883, At Peace Decay
6, 2, -200, 2144, At Peace Decay
2, 6, -200, 5683, At Peace Decay
6, 2, -200, 1944, At Peace Decay
2, 6, -200, 5483, At Peace Decay
