Game Turn, From, To, Initiator, Type, SubType, Message
186, 5, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
186, 5, 1, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
186, 5, 4, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
187, 6, 5, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
187, 6, 5, ?, MAKE_PROMISE, 46209c01, ?, Processing Action From AI to AI
187, 6, 5, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
188, 5, 0, -1, WARNING_STOP_SPYING_ON_ME, NONE, 00000000, Requesting Session (B)
188, 5, 0, 5, WARNING_STOP_SPYING_ON_ME, NONE, INITIAL, Adding to pending
188, 5, 0, 5, WARNING_STOP_SPYING_ON_ME, NONE, INITIAL, Processing Statement
188, 5, 0, 5, WARNING_STOP_SPYING_ON_ME, NONE, INITIAL, Processing Immediately
188, 0, 5, 5, WARNING_STOP_SPYING_ON_ME, NONE, POSITIVE, Adding to pending
188, 0, 5, 5, WARNING_STOP_SPYING_ON_ME, NONE, POSITIVE, Broadcasting
188, 0, 5, 5, WARNING_STOP_SPYING_ON_ME, NONE, POSITIVE, Processing Statement
188, 0, 5, 5, WARNING_STOP_SPYING_ON_ME, NONE, POSITIVE, Processing Immediately
188, 5, 0, 5, WARNING_STOP_SPYING_ON_ME, POSITIVE, POSITIVE, Adding to pending
188, 5, 0, ?, MAKE_PROMISE, c298a89c, ?, Sending Action
188, 5, 0, 5, WARNING_STOP_SPYING_ON_ME, POSITIVE, POSITIVE, Processing Statement
188, 5, 0, 5, WARNING_STOP_SPYING_ON_ME, POSITIVE, POSITIVE, Processing Immediately
188, 5, 0, ?, MAKE_PROMISE, ffffffff, ?, Processing Action
189, 0, 4, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
189, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
189, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
189, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
189, 0, 4, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
189, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
189, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
189, 4, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
189, 0, 5, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
189, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
189, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
189, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
189, 0, 5, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
189, 0, 5, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
189, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
189, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
189, 5, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
189, 5, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
189, 5, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
189, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, AI_ACCEPT_DEAL, POSITIVE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Immediately
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
189, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
189, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
189, 0, 1, -1, MAKE_DEAL, NONE, INITIAL, Requesting Session (A)
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Adding to pending
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Broadcasting
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Statement
189, 0, 1, 0, MAKE_DEAL, NONE, INITIAL, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Adding to pending
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, NONE, ACKNOWLEDGE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, POSITIVE, POSITIVE, Processing Immediately
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
189, 0, 1, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
189, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
189, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
189, 1, 0, 0, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
190, 5, 2, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
190, 5, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
190, 5, 2, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
191, 0, 7, -1, DECLARE_FRIEND, NONE, INITIAL, Requesting Session (A)
191, 0, 7, 0, DECLARE_FRIEND, NONE, INITIAL, Adding to pending
