Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
186, CIVILIZATION_SUMERIA, 11, 96, 62, 48, 12, 2, 2, 0, 238, 109, 788, 243, 210, 220, 543, 46, 615, 295, 238, 298, 29, 95, 38, 310
186, CIVILIZATION_NORWAY, 10, 112, 48, 35, 2, 0, 0, 0, 193, 62, 1259, 50, 109, 65, 428, 24, 353, 327, 193, 196, 35, 111, 26, 88
186, CIVILIZATION_ENGLAND, 11, 120, 50, 33, 43, 27, 9, 3, 209, 88, 1432, 390, 198, 82, 977, 21, 609, 373, 209, 335, 41, 119, 106, 236
186, CIVILIZATION_FRANCE, 10, 103, 48, 50, 24, 6, 10, 14, 273, 85, 3893, 614, 121, 355, 1168, 193, 457, 327, 273, 350, 34, 102, 47, 434
186, CIVILIZATION_BRAZIL, 13, 121, 48, 47, 15, 4, 2, 9, 266, 75, 1228, 164, 122, 219, 964, 125, 554, 315, 266, 294, 40, 120, 12, 268
186, CIVILIZATION_ARABIA, 9, 90, 41, 32, 42, 28, 0, 6, 182, 80, 4387, 274, 137, 81, 1176, 131, 467, 285, 182, 401, 31, 89, 46, 162
186, CIVILIZATION_ZANZIBAR, 1, 11, 48, 32, 3, 1, 0, 1, 13, 10, 2350, 80, 9, 6, 50, 0, 14, 26, 13, 29, 2, 10, 18, 16
186, CIVILIZATION_BUENOS_AIRES, 1, 10, 48, 31, 6, 0, 0, 1, 10, 8, 187, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
186, CIVILIZATION_NAN_MADOL, 1, 7, 49, 26, 3, 0, 0, 0, 13, 6, 55, 35, 6, 8, 16, 0, 14, 12, 13, 19, 1, 6, 8, 10
186, CIVILIZATION_PRESLAV, 1, 15, 48, 34, 10, 8, 0, 0, 14, 12, 75, 92, 8, 5, 18, 0, 4, 47, 14, 15, 0, 16, 17, 12
186, CIVILIZATION_LA_VENTA, 1, 13, 45, 32, 4, 1, 0, 0, 13, 10, 435, 1863, 10, 6, 23, 16, 8, 39, 13, 32, 1, 12, 16, 6
186, CIVILIZATION_JAKARTA, 1, 14, 44, 25, 8, 0, 0, 0, 13, 10, 442, 40, 10, 6, 24, 0, 6, 42, 13, 23, 1, 14, 0, 0
186, CIVILIZATION_VALLETTA, 1, 15, 44, 35, 3, 3, 0, 0, 13, 10, 506, 107, 9, 6, 13, 0, 2, 42, 13, 16, 1, 17, 14, 6
186, CIVILIZATION_AMSTERDAM, 1, 13, 49, 31, 4, 1, 0, 1, 13, 9, 2006, 109, 10, 6, 45, 1, 4, 39, 13, 20, 2, 13, 15, 6
186, CIVILIZATION_VILNIUS, 1, 9, 48, 32, 3, 2, 0, 0, 14, 10, 601, 18, 7, 8, 22, 0, 10, 22, 14, 19, 1, 8, 8, 6
186, CIVILIZATION_HATTUSA, 1, 11, 46, 33, 2, 0, 0, 2, 12, 8, 381, 279, 15, 7, 32, 1, 5, 26, 12, 17, 2, 11, 17, 24
187, CIVILIZATION_KONGO, 12, 97, 34, 37, 9, 1, 0, 2, 220, 27, 877, 174, 108, 285, 413, 21, 167, 261, 220, 95, 28, 97, 129, 246
187, CIVILIZATION_SUMERIA, 11, 98, 63, 49, 12, 2, 2, 0, 238, 109, 1030, 290, 216, 224, 559, 46, 625, 305, 238, 298, 29, 97, 42, 310
187, CIVILIZATION_NORWAY, 10, 112, 48, 35, 3, 0, 0, 0, 193, 63, 512, 76, 113, 67, 438, 25, 364, 328, 193, 196, 36, 111, 26, 86
187, CIVILIZATION_ENGLAND, 11, 122, 51, 33, 42, 25, 11, 3, 213, 88, 762, 412, 211, 83, 982, 21, 619, 379, 213, 345, 42, 121, 107, 238
187, CIVILIZATION_FRANCE, 10, 103, 48, 50, 25, 7, 10, 13, 274, 85, 3845, 424, 120, 353, 1214, 193, 466, 330, 274, 350, 35, 102, 57, 430
187, CIVILIZATION_BRAZIL, 13, 120, 48, 47, 13, 4, 2, 10, 266, 75, 822, 289, 121, 218, 979, 125, 569, 315, 266, 296, 40, 119, 12, 268
187, CIVILIZATION_ARABIA, 9, 90, 41, 32, 42, 29, 0, 6, 182, 78, 4906, 405, 139, 96, 1211, 133, 466, 281, 182, 417, 31, 89, 46, 198
187, CIVILIZATION_ZANZIBAR, 1, 11, 48, 32, 3, 1, 0, 1, 13, 10, 2382, 81, 9, 6, 50, 0, 14, 26, 13, 29, 2, 10, 18, 16
187, CIVILIZATION_BUENOS_AIRES, 1, 10, 48, 31, 6, 0, 0, 1, 10, 8, 181, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
187, CIVILIZATION_NAN_MADOL, 1, 7, 49, 26, 3, 0, 0, 0, 13, 6, 57, 35, 6, 8, 16, 0, 14, 12, 13, 19, 1, 6, 8, 10
187, CIVILIZATION_PRESLAV, 1, 15, 48, 34, 10, 8, 0, 0, 14, 12, 75, 93, 8, 5, 18, 0, 4, 47, 14, 15, 0, 16, 17, 12
187, CIVILIZATION_LA_VENTA, 1, 13, 45, 32, 4, 1, 0, 0, 13, 10, 448, 1880, 10, 6, 23, 16, 8, 33, 13, 26, 1, 12, 16, 6
187, CIVILIZATION_JAKARTA, 1, 15, 44, 26, 8, 0, 0, 0, 13, 10, 446, 40, 11, 6, 25, 0, 6, 42, 13, 23, 1, 16, 0, 0
187, CIVILIZATION_VALLETTA, 1, 15, 45, 35, 3, 3, 0, 0, 13, 10, 513, 107, 9, 6, 13, 0, 2, 42, 13, 16, 1, 17, 14, 6
187, CIVILIZATION_AMSTERDAM, 1, 13, 49, 31, 4, 1, 0, 1, 13, 9, 2039, 111, 10, 6, 44, 1, 4, 39, 13, 20, 2, 13, 15, 6
187, CIVILIZATION_VILNIUS, 1, 9, 48, 32, 3, 2, 0, 0, 14, 10, 612, 18, 7, 8, 22, 0, 10, 22, 14, 19, 1, 8, 8, 6
187, CIVILIZATION_HATTUSA, 1, 11, 47, 33, 2, 0, 0, 2, 12, 8, 394, 281, 15, 7, 32, 1, 5, 26, 12, 17, 2, 11, 17, 24
188, CIVILIZATION_KONGO, 13, 98, 35, 37, 9, 1, 0, 2, 228, 27, 626, 196, 125, 303, 426, 21, 171, 265, 228, 98, 28, 98, 187, 246
188, CIVILIZATION_SUMERIA, 11, 100, 63, 49, 13, 2, 3, 0, 240, 111, 1277, 336, 220, 225, 559, 46, 637, 310, 240, 298, 29, 99, 42, 318
188, CIVILIZATION_NORWAY, 10, 113, 49, 35, 3, 0, 0, 0, 193, 63, 835, 101, 114, 68, 438, 27, 373, 330, 193, 196, 36, 112, 26, 86
188, CIVILIZATION_ENGLAND, 11, 122, 51, 33, 27, 18, 2, 3, 213, 88, 842, 433, 212, 83, 982, 21, 625, 379, 213, 349, 42, 121, 107, 238
188, CIVILIZATION_FRANCE, 10, 103, 48, 51, 25, 7, 10, 13, 277, 85, 3967, 613, 121, 358, 1257, 192, 507, 332, 277, 368, 35, 102, 60, 452
188, CIVILIZATION_BRAZIL, 13, 120, 49, 47, 12, 3, 2, 9, 269, 76, 1090, 179, 122, 245, 981, 123, 571, 314, 269, 296, 41, 119, 12, 272
188, CIVILIZATION_ARABIA, 9, 90, 41, 32, 42, 29, 0, 5, 184, 78, 5913, 359, 139, 91, 1248, 133, 445, 277, 184, 432, 31, 89, 35, 198
188, CIVILIZATION_ZANZIBAR, 1, 12, 48, 32, 3, 1, 0, 1, 13, 10, 2418, 82, 10, 6, 54, 0, 14, 26, 13, 29, 2, 11, 18, 16
188, CIVILIZATION_BUENOS_AIRES, 1, 10, 48, 31, 6, 0, 0, 1, 10, 8, 175, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
188, CIVILIZATION_NAN_MADOL, 1, 7, 49, 26, 3, 0, 0, 0, 13, 6, 59, 35, 6, 8, 16, 0, 14, 12, 13, 19, 1, 6, 8, 10
188, CIVILIZATION_PRESLAV, 1, 15, 48, 34, 10, 8, 0, 0, 14, 12, 76, 93, 8, 5, 18, 0, 4, 47, 14, 15, 0, 16, 17, 12
188, CIVILIZATION_LA_VENTA, 1, 13, 45, 32, 4, 1, 0, 0, 13, 10, 460, 1896, 10, 6, 23, 16, 8, 33, 13, 26, 1, 12, 16, 6
188, CIVILIZATION_JAKARTA, 1, 15, 44, 26, 8, 0, 0, 0, 13, 10, 449, 40, 11, 6, 25, 0, 6, 42, 13, 23, 1, 16, 0, 0
188, CIVILIZATION_VALLETTA, 1, 15, 46, 35, 3, 3, 0, 0, 13, 10, 512, 107, 8, 5, 4, 0, 2, 42, 13, 16, 1, 17, 0, 6
188, CIVILIZATION_AMSTERDAM, 1, 13, 49, 31, 4, 1, 0, 1, 13, 9, 2074, 113, 10, 6, 45, 1, 4, 39, 13, 20, 2, 13, 15, 6
188, CIVILIZATION_VILNIUS, 1, 9, 48, 32, 3, 2, 0, 0, 14, 10, 622, 18, 7, 8, 22, 0, 10, 22, 14, 19, 1, 8, 8, 6
188, CIVILIZATION_HATTUSA, 1, 11, 48, 33, 2, 0, 0, 2, 12, 8, 407, 283, 15, 7, 32, 1, 5, 26, 12, 17, 2, 11, 17, 24
189, CIVILIZATION_KONGO, 13, 98, 36, 37, 9, 1, 0, 2, 231, 27, 687, 218, 125, 304, 425, 21, 171, 265, 231, 98, 29, 98, 187, 246
189, CIVILIZATION_SUMERIA, 11, 102, 63, 50, 13, 2, 3, 0, 241, 111, 1093, 383, 216, 314, 626, 46, 630, 348, 241, 365, 29, 101, 67, 328
189, CIVILIZATION_NORWAY, 10, 114, 49, 36, 2, 0, 0, 0, 194, 63, 826, 127, 118, 67, 432, 27, 392, 331, 194, 208, 36, 113, 26, 182
189, CIVILIZATION_ENGLAND, 11, 124, 52, 33, 22, 15, 1, 3, 213, 89, 769, 455, 217, 87, 982, 22, 635, 451, 213, 354, 43, 123, 108, 236
189, CIVILIZATION_FRANCE, 10, 104, 49, 51, 24, 7, 9, 13, 277, 85, 4191, 413, 122, 357, 1259, 193, 519, 335, 277, 368, 35, 103, 63, 458
189, CIVILIZATION_BRAZIL, 13, 121, 49, 47, 12, 3, 2, 9, 270, 75, 1510, 305, 124, 250, 980, 126, 583, 311, 270, 306, 41, 120, 20, 276
189, CIVILIZATION_ARABIA, 9, 92, 41, 32, 43, 29, 0, 7, 184, 78, 5628, 496, 142, 91, 1248, 136, 464, 282, 184, 432, 31, 91, 46, 198
189, CIVILIZATION_ZANZIBAR, 1, 12, 48, 32, 3, 1, 0, 1, 13, 10, 2454, 83, 10, 6, 54, 0, 14, 26, 13, 29, 2, 11, 18, 16
189, CIVILIZATION_BUENOS_AIRES, 1, 10, 48, 31, 6, 0, 0, 1, 10, 8, 170, 48, 11, 5, 20, 0, 4, 26, 10, 15, 1, 10, 0, 6
189, CIVILIZATION_NAN_MADOL, 1, 7, 49, 26, 3, 0, 0, 0, 13, 6, 61, 35, 6, 8, 16, 0, 14, 12, 13, 19, 1, 6, 8, 10
189, CIVILIZATION_PRESLAV, 1, 15, 48, 34, 10, 8, 0, 0, 14, 12, 77, 94, 8, 5, 18, 0, 4, 47, 14, 15, 0, 16, 17, 12
189, CIVILIZATION_LA_VENTA, 1, 13, 45, 32, 4, 1, 0, 0, 13, 9, 470, 1913, 10, 6, 21, 16, 8, 30, 13, 26, 1, 13, 16, 6
189, CIVILIZATION_JAKARTA, 1, 15, 44, 26, 8, 0, 0, 0, 13, 10, 452, 40, 11, 6, 25, 0, 6, 42, 13, 23, 1, 16, 0, 0
189, CIVILIZATION_VALLETTA, 1, 15, 47, 35, 3, 3, 0, 0, 15, 10, 519, 107, 9, 6, 12, 0, 2, 46, 15, 16, 1, 16, 14, 6
189, CIVILIZATION_AMSTERDAM, 1, 13, 49, 31, 4, 1, 0, 1, 13, 9, 2108, 114, 10, 6, 45, 1, 4, 39, 13, 20, 2, 13, 15, 6
189, CIVILIZATION_VILNIUS, 1, 9, 48, 32, 3, 2, 0, 0, 14, 10, 626, 18, 7, 8, 16, 0, 10, 21, 14, 19, 1, 8, 0, 6
189, CIVILIZATION_HATTUSA, 1, 11, 49, 33, 2, 0, 0, 2, 12, 8, 420, 285, 15, 7, 32, 1, 5, 26, 12, 17, 2, 11, 17, 24
190, CIVILIZATION_KONGO, 13, 99, 36, 37, 9, 1, 0, 2, 231, 27, 1622, 240, 127, 310, 439, 22, 174, 268, 231, 98, 29, 99, 212, 250
